type,title,cast,release_year,id,duration_type,duration_int,calificacion,califPromedio
movie,rain fall,"gary oldman, kippei shiina, kyoko hasegawa, misa shimizu, takumi bando",2009,as1221,min,111,3.5,3.5
tv show,rage of bahamut virgin soul,"sumire morohoshi, yuuichirou umehara, hiroyuki yoshino, go inoue, masakazu morita",2017,as1222,season,1,5.0,3.5
movie,raffles (1939),"david niven, olivia de havilland, may whitty",1939,as1223,min,72,4.0,3.5
movie,radioactive,"rosamund pike, sam riley, aneurin barnard, simon russell, katherine parkinson, sian brooke, anya taylor-joy",2020,as1224,min,110,3.0,3.6
movie,racing scene,james garner,1971,as1225,min,92,5.0,3.5
tv show,rachel allen's everyday kitchen,rachel allen,2013,as1226,season,1,3.5,3.5
movie,race 3,"anil kapoor, salman khan, jacqueline fernandez, bobby deol, daisy shah, saqib saleem, freddy daruwala",2018,as1227,min,159,1.0,3.5
movie,raazi,"alia bhatt, vicky kaushal",2018,as1228,min,137,3.0,3.5
tv show,queer·ious | the series,"alexander ""lex"" king, darxia morris, cole lawson, miko rounds, darien janay, stray k, bj minor, jrue, sean, kiara ""the voice"", fuzz rico",2020,as1229,season,1,5.0,3.6
movie,queer nation,mathieu orcel,2018,as1230,min,60,3.0,3.5
tv show,queer as folk,"aidan gillen, craig kelly, charlie hunnam",2000,as1231,seasons,2,3.5,3.5
movie,queen of the yukon,"charles bickford, irene rich, george cleveland, guy usher, june carlson, dave ""tex"" o'brien",1940,as1232,min,76,3.0,3.5
tv show,quark science,,2018,as1233,season,1,3.0,3.5
tv show,qin dynasty epic,"zhang luyi, duan yihong, li naiwen, zhu zhu",2020,as1234,season,1,4.0,3.6
tv show,qb vii,"ben gazzara, anthony hopkins, leslie caron",1974,as1235,season,1,1.0,3.5
tv show,python for everybody,dr. charles russell severance,2016,as1236,season,1,5.0,3.6
tv show,pushpavalli (telugu),"sumukhi suresh, naveen richard, manish anand, vidyuth gargi, shraddha",2020,as1237,seasons,2,1.5,3.5
tv show,pushpavalli (tamil),"sumukhi suresh, naveen richard, manish anand, vidyuth gargi, shraddha",2020,as1238,seasons,2,4.0,3.5
tv show,pushpavalli,"sumukhi suresh, naveen richard, manish anand, vidyuth gargi, shraddha",2020,as1239,seasons,2,3.0,3.6
movie,pure the movie series 2,"efrain esquilin, john stover, lamar mackey, fonz carter, lajuan rowe, terrance brown, mr 716 big miz, martellous jones, luna smith, duece king",2018,as1240,min,112,3.0,3.5
movie,pure the movie series,"duece king, john stover, lamar mackey, fonz carter, born love, lonette carr, mr 716 big miz",2018,as1241,min,104,3.0,3.5
movie,pungo - a witch's tale,"mark hyde, mathew sharpe, cathryn benson",2021,as1242,min,102,3.5,3.5
movie,pull of the north,,2020,as1243,min,39,5.0,3.6
tv show,public enemies,"daniel mays, anna friel, lorraine ashbourne",2012,as1244,season,1,3.5,3.6
tv show,psycho-pass (sub),"arata shindo:yuki kaji, kei mikhail ignatov:yuichi nakamura",2020,as1245,seasons,2,3.0,3.5
tv show,psychic tia,,2013,as1246,season,1,2.0,3.5
tv show,psychic princess,"ranyinruocai, lu lifengdk, wang chong",2019,as1247,season,1,1.0,3.4
tv show,psychic kids: children of the paranormal,chip coffey,2010,as1248,seasons,3,4.5,3.5
tv show,psychic intervention,,2014,as1249,season,1,3.0,3.4
tv show,psych,"james roday, dule hill, corbin bernsen, maggie lawson, timothy omundson, kirsten nelson",2014,as1250,seasons,8,4.5,3.5
tv show,project restoration,"marianne suhr, griff rhys jones, ptolemy dean",2016,as1251,season,1,4.0,3.5
movie,professor shanku o el dorado,"dhritiman chatterjee, subhasish mukhopadhyay, eduardo munniz",2020,as1252,min,92,2.0,3.6
movie,problems,azeem banatwalla,2018,as1253,min,68,4.0,3.5
tv show,prisoners' wives,"pippa haywood, polly walker, phoebe dynevor, iain glen, harry mcentire, adam gillen, don gayle, david bradley, adrian rawlins, phillip mulhern, emma rigby, natalie gavin",2013,as1254,seasons,2,4.0,3.6
movie,prisoner x,"michelle nolden, romano orzari",2017,as1255,min,88,3.5,3.5
movie,prison shadows (1936),"edward j. nugent, lucille lund, joan barclay, forrest taylor, syd saylor, monte blue, corky the dog",1936,as1256,min,73,4.0,3.5
movie,princesses of the world,,2009,as1257,min,48,5.0,3.6
tv show,princess principal,,2017,as1258,season,1,3.5,3.6
movie,princess castle,,2016,as1259,min,46,1.0,3.4
tv show,prime suspect: tennison,,2017,as1260,season,1,3.0,3.6
tv show,prime rewind: inside the boys,"aisha tyler, karl urban, laz alonso",2020,as1261,season,1,2.0,3.5
movie,prime live events: blondie live at round chapel (4k uhd),,2017,as1262,min,72,4.5,3.5
tv show,prime japan [hd/sd ver] (english subtitled),jonathan sherr,2017,as1263,season,1,3.0,3.6
tv show,prime japan (4k uhd),jonathan sherr,2017,as1264,season,1,4.0,3.6
tv show,primal grill with steven raichlen,steven raichlen,2010,as1265,season,1,4.0,3.6
tv show,prey,"philip glenister, rosie cavaliero",2015,as1266,seasons,2,3.0,3.5
tv show,presunto culpable,"miguel angel muñoz, susi sanchez, elvira minguez, josean bengoetxea, tomas del estal, itziar atienza, teresa hurtado de ory, carlos serrano, kiko rossi, alejandra onieva, irene montalà, carol rovira, eduardo rosa, iñaki font, jon mendia, asier iturriaga, pablo scola, marta castellote, maialen vega",2018,as1267,season,1,4.0,3.5
tv show,press your luck,peter tomarken,1984,as1268,season,1,3.0,3.6
movie,prescription thugs,"christopher bell, matthew ""horshu"" wiese, chris leben, ted lieu, richard taite, david healy, greg critser",2015,as1269,min,86,2.0,3.4
movie,prema pipasi,"gps, suman, kapilakshi malhotra, sonakshi varma",2021,as1270,min,132,3.0,3.6
tv show,preachers' daughters,"audrey perry, cheryl perry",2013,as1271,season,1,4.5,3.6
